folder_name	path	file_count	dir_count	status
.evidence-harvest	/data/data/com.termux/files/home/02.ERP-system/.evidence-harvest	0	0	empty
000.platform	/data/data/com.termux/files/home/02.ERP-system/000.platform	0	58	nonempty
001.core-principles	/data/data/com.termux/files/home/02.ERP-system/001.core-principles	0	0	empty
002.interface-and-contract	/data/data/com.termux/files/home/02.ERP-system/002.interface-and-contract	185	6	nonempty
003.control-and-workflow	/data/data/com.termux/files/home/02.ERP-system/003.control-and-workflow	77	2	nonempty
004.mapping-and-normalization	/data/data/com.termux/files/home/02.ERP-system/004.mapping-and-normalization	116	0	nonempty
100.business	/data/data/com.termux/files/home/02.ERP-system/100.business	2153	273	nonempty
200.management	/data/data/com.termux/files/home/02.ERP-system/200.management	760	100	nonempty
300.analytics	/data/data/com.termux/files/home/02.ERP-system/300.analytics	46	6	nonempty
300.audit	/data/data/com.termux/files/home/02.ERP-system/300.audit	94	12	nonempty
400.analytics	/data/data/com.termux/files/home/02.ERP-system/400.analytics	94	12	nonempty
900.meta	/data/data/com.termux/files/home/02.ERP-system/900.meta	227	39	nonempty
