folder_name	source_path	target_path	result	note
.evidence-harvest	/data/data/com.termux/files/home/02.ERP-system/.evidence-harvest	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_222331/legacy-root-structure/.evidence-harvest	moved	archived legacy root structure
000.platform	/data/data/com.termux/files/home/02.ERP-system/000.platform	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_222331/legacy-root-structure/000.platform	moved	archived legacy root structure
001.core-principles	/data/data/com.termux/files/home/02.ERP-system/001.core-principles	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_222331/legacy-root-structure/001.core-principles	moved	archived legacy root structure
002.interface-and-contract	/data/data/com.termux/files/home/02.ERP-system/002.interface-and-contract	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_222331/legacy-root-structure/002.interface-and-contract	moved	archived legacy root structure
003.control-and-workflow	/data/data/com.termux/files/home/02.ERP-system/003.control-and-workflow	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_222331/legacy-root-structure/003.control-and-workflow	moved	archived legacy root structure
004.mapping-and-normalization	/data/data/com.termux/files/home/02.ERP-system/004.mapping-and-normalization	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_222331/legacy-root-structure/004.mapping-and-normalization	moved	archived legacy root structure
100.business	/data/data/com.termux/files/home/02.ERP-system/100.business	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_222331/legacy-root-structure/100.business	moved	archived legacy root structure
200.management	/data/data/com.termux/files/home/02.ERP-system/200.management	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_222331/legacy-root-structure/200.management	moved	archived legacy root structure
300.analytics	/data/data/com.termux/files/home/02.ERP-system/300.analytics	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_222331/legacy-root-structure/300.analytics	moved	archived legacy root structure
300.audit	/data/data/com.termux/files/home/02.ERP-system/300.audit	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_222331/legacy-root-structure/300.audit	moved	archived legacy root structure
400.analytics	/data/data/com.termux/files/home/02.ERP-system/400.analytics	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_222331/legacy-root-structure/400.analytics	moved	archived legacy root structure
900.meta	/data/data/com.termux/files/home/02.ERP-system/900.meta	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_222331/legacy-root-structure/900.meta	moved	archived legacy root structure
