op_kind	source_path	target_unit	target_layer	target_path	result	note
left_in_foundation	/data/data/com.termux/files/home/02.ERP-system/00.foundation/010.constitution/000_ERP_NUMBERED_FOLDER_CANON.md	-	010.constitution	-	kept	not classified to priority module
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/010.constitution/030_ERP_UNNUMBERED_TO_NUMBERED_TRANSITION_LEDGER.md	30.accounting	010.constitution	/data/data/com.termux/files/home/02.ERP-system/30.accounting/010.constitution/030_ERP_UNNUMBERED_TO_NUMBERED_TRANSITION_LEDGER.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/010.constitution/031_ERP_UNNUMBERED_TO_NUMBERED_TRANSITION_LEDGER.tsv	30.accounting	010.constitution	/data/data/com.termux/files/home/02.ERP-system/30.accounting/010.constitution/031_ERP_UNNUMBERED_TO_NUMBERED_TRANSITION_LEDGER.tsv	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/010.constitution/503_ERP_V3_BOUNDARY_ID_CANONICAL_POLICY.md	30.accounting	010.constitution	/data/data/com.termux/files/home/02.ERP-system/30.accounting/010.constitution/503_ERP_V3_BOUNDARY_ID_CANONICAL_POLICY.md	redistributed	copied to module layer and archived source from foundation
left_in_foundation	/data/data/com.termux/files/home/02.ERP-system/00.foundation/010.constitution/DESIGN_DOCUMENT_RULES_CANONICAL.md	-	010.constitution	-	kept	not classified to priority module
left_in_foundation	/data/data/com.termux/files/home/02.ERP-system/00.foundation/010.constitution/ERP_SYSTEM_FOLDER_STRUCTURE_CANONICAL.md	-	010.constitution	-	kept	not classified to priority module
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/000_COMMON_DESIGN_INDEX.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/000_COMMON_DESIGN_INDEX.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/000_COMMON_DESIGN_OVERVIEW.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/000_COMMON_DESIGN_OVERVIEW.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/001_COMMON_DESIGN_SET_INTEGRATION_NOTE.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/001_COMMON_DESIGN_SET_INTEGRATION_NOTE.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/002_COMMON_DESIGN_SET_NAVIGATION_RULE.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/002_COMMON_DESIGN_SET_NAVIGATION_RULE.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/124_ERP_DEEP_REVIEW_SET_INDEX.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/124_ERP_DEEP_REVIEW_SET_INDEX.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/125_ERP_DEEP_REVIEW_SET_OVERVIEW.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/125_ERP_DEEP_REVIEW_SET_OVERVIEW.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/126_ERP_RECONCILIATION_ROADMAP.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/126_ERP_RECONCILIATION_ROADMAP.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/127_ERP_RECONCILIATION_CURRENT_STATE.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/127_ERP_RECONCILIATION_CURRENT_STATE.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/128_ERP_RECONCILIATION_NEXT_ACTIONS.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/128_ERP_RECONCILIATION_NEXT_ACTIONS.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/129_ERP_RECONCILIATION_DECISION_LOG_SUMMARY.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/129_ERP_RECONCILIATION_DECISION_LOG_SUMMARY.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/130_DESIGN_MASTER_INDEX_RECONCILIATION_PATCH.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/130_DESIGN_MASTER_INDEX_RECONCILIATION_PATCH.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/131_ERP_SYSTEM_MASTER_INDEX_RECONCILIATION_PATCH.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/131_ERP_SYSTEM_MASTER_INDEX_RECONCILIATION_PATCH.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/132_ERP_RECONCILIATION_ROOT_NAVIGATION_RULE.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/132_ERP_RECONCILIATION_ROOT_NAVIGATION_RULE.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/133_ERP_DESIGN_BIBLE_RECONCILIATION_PATCH.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/133_ERP_DESIGN_BIBLE_RECONCILIATION_PATCH.md	redistributed	copied to module layer and archived source from foundation
