source_scope	source_path	target_unit	target_layer	target_path	result	note
legacy-root	/data/data/com.termux/files/home/02.ERP-system/.evidence-harvest/.runtime_candidate_files.txt	-	-	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/20.unclassified-global/module-unknown/.runtime_candidate_files.txt	module_unknown	could not classify module/submodule
legacy-root	/data/data/com.termux/files/home/02.ERP-system/.evidence-harvest/201_runtime_write_path_evidence.txt	-	-	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/20.unclassified-global/module-unknown/201_runtime_write_path_evidence.txt	module_unknown	could not classify module/submodule
legacy-root	/data/data/com.termux/files/home/02.ERP-system/.evidence-harvest/202_header_write_path_evidence.txt	-	-	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/20.unclassified-global/module-unknown/202_header_write_path_evidence.txt	module_unknown	could not classify module/submodule
legacy-root	/data/data/com.termux/files/home/02.ERP-system/000.platform/000_PLATFORM_INDEX.md	-	-	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/20.unclassified-global/module-unknown/000_PLATFORM_INDEX.md	module_unknown	could not classify module/submodule
legacy-root	/data/data/com.termux/files/home/02.ERP-system/000.platform/000_PLATFORM_OVERVIEW.md	-	-	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/20.unclassified-global/module-unknown/000_PLATFORM_OVERVIEW.md	module_unknown	could not classify module/submodule
legacy-root	/data/data/com.termux/files/home/02.ERP-system/000.platform/010.foundation/010_FOUNDATION_INDEX.md	-	-	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/20.unclassified-global/module-unknown/010_FOUNDATION_INDEX.md	module_unknown	could not classify module/submodule
legacy-root	/data/data/com.termux/files/home/02.ERP-system/000.platform/010.foundation/011_FOUNDATION_OVERVIEW.md	-	-	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/20.unclassified-global/module-unknown/011_FOUNDATION_OVERVIEW.md	module_unknown	could not classify module/submodule
legacy-root	/data/data/com.termux/files/home/02.ERP-system/000.platform/010.foundation/014_DOCUMENT_ARCHITECTURE.md	-	-	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/20.unclassified-global/module-unknown/014_DOCUMENT_ARCHITECTURE.md	module_unknown	could not classify module/submodule
legacy-root	/data/data/com.termux/files/home/02.ERP-system/000.platform/010.foundation/015_DOCUMENT_NUMBERING_MODEL.md	-	-	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/20.unclassified-global/module-unknown/015_DOCUMENT_NUMBERING_MODEL.md	module_unknown	could not classify module/submodule
legacy-root	/data/data/com.termux/files/home/02.ERP-system/000.platform/010.foundation/016_DOCUMENT_LIFECYCLE_MODEL.md	-	-	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/20.unclassified-global/module-unknown/016_DOCUMENT_LIFECYCLE_MODEL.md	module_unknown	could not classify module/submodule
legacy-root	/data/data/com.termux/files/home/02.ERP-system/000.platform/010.foundation/094_ERP_DOCUMENT_LIFECYCLE_ARCHITECTURE.md	-	-	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/20.unclassified-global/module-unknown/094_ERP_DOCUMENT_LIFECYCLE_ARCHITECTURE.md	module_unknown	could not classify module/submodule
legacy-root	/data/data/com.termux/files/home/02.ERP-system/000.platform/020.security/020_SECURITY_INDEX.md	-	-	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/20.unclassified-global/module-unknown/020_SECURITY_INDEX.md	module_unknown	could not classify module/submodule
